alias_text,canonical_manifest_id
P&D Act,98ccfbd5-e073-5533-80ed-a25b46b7b23c
PD Act 2005,98ccfbd5-e073-5533-80ed-a25b46b7b23c
LPS Regulations 2015,21304b46-8115-54aa-92af-46c5dba16cb3
LPS Regulations,21304b46-8115-54aa-92af-46c5dba16cb3
the deemed provisions,21304b46-8115-54aa-92af-46c5dba16cb3
deemed provisions,21304b46-8115-54aa-92af-46c5dba16cb3
Planning and Development (Local Planning Schemes) Regulations,21304b46-8115-54aa-92af-46c5dba16cb3
MRS,07931dc0-f5bd-55a6-ba83-27e1e404f426
PRS,cf3f9033-7107-59d4-b964-c65fa6599730
GBRS,e15bfffd-9b7f-5732-a0cd-4c0dc4e68fe5
SPP 1,e7f7ef23-b4bd-5c02-a775-e0e4a46e75af
SPP 2.0,da5b6938-f8be-5ed8-bdc8-e36c9459ac58
SPP 2.4,ca27869f-a5ff-5e30-996f-ab993b4fe8b9
SPP 2.5,41327c93-7b27-5aca-a12a-cc241d469eee
SPP 2.6,75cef0e1-f58e-5576-92f0-d9f3b2c9759d
SPP 2.8,6820a32d-1c69-5759-bccd-8a7f10d149e3
SPP 2.9,4c391a01-4702-579f-b0b4-0e7262296d57
SPP 3.0,7b080bb7-1f7f-559f-9a2d-9547cc0e64cc
SPP 3.2,0a7be17c-90fc-5a7e-b662-f51b3f301d8c
SPP 3.4,d8c5cb55-3034-5df5-b518-a704c404ceb0
SPP 3.5,d80d3c74-5cc7-5755-96a2-4d2c322f7b1e
SPP 3.6,2b4f5ddc-8a4e-5ed0-95a3-9a222e724da6
SPP 3.7,551e7fb8-cad6-52b9-95c5-2bbc6543cde4
SPP 4.1,010f29a8-5eb0-532b-8b54-58162a9e9a05
SPP 4.2,3e610b17-ed5a-5bca-831b-ea9aefa8692a
SPP 5.1,15c8f3be-b0c7-5bdf-8191-7236860c4145
SPP 5.2,158f547c-4f0a-50c4-a4be-5acb46e0390d
