id,instrument_name,issuing_authority,canonical_url,status
98ccfbd5-e073-5533-80ed-a25b46b7b23c,Planning and Development Act 2005,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/main_mrtitle_722_homepage.html,pending
21304b46-8115-54aa-92af-46c5dba16cb3,Planning and Development (Local Planning Schemes) Regulations 2015,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
f43253ae-ae6d-5c1a-812b-e5355d6f7114,Planning and Development (Planning Codes) Regulations 2024,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
dfbeedcc-38e8-538f-9241-d456519b9d10,Planning and Development (State Planning Policies) Regulations 2024,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
a4c6b3da-cb07-55ff-a6d4-57fc3f259f63,Planning and Development (Region Planning Schemes) Regulations 2023,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
f6b98ddb-b589-56e2-b207-1bc483462fb2,Planning and Development Regulations 2009,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
07931dc0-f5bd-55a6-ba83-27e1e404f426,Metropolitan Region Scheme,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
cf3f9033-7107-59d4-b964-c65fa6599730,Peel Region Scheme,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
e15bfffd-9b7f-5732-a0cd-4c0dc4e68fe5,Greater Bunbury Region Scheme,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
df251e89-503e-53ad-8087-2c050c11485d,Planning and Development (Western Australian Planning Commission) Regulations 2024,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
533706a1-54b3-5f8b-883e-e400ce979b34,Planning and Development (Significant Development) Regulations 2024,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
4f4b2cf5-d5ba-5349-8a8b-c6304d8ae403,Planning and Development (Development Assessment Panels) Regulations 2011,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
4b9caee8-4a3c-517c-827b-f3f1bba44fa3,Planning and Development (Part 11B Fees) Notice 2024,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
e3f69c11-5a5b-5586-b99f-318189af4e29,Planning and Development (Fees) Notice 2021,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
d1714879-8801-56fc-a03a-efc9670fd691,Planning and Development (Part 17 Fees) Notice 2020,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
4196c683-9078-5df9-b27b-c3232ab7eea6,Town Planning (Buildings) Uniform General By-laws 1989,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
0aaa6e02-d0da-5c22-82ce-aba9d1c771be,Town Planning (Height of Obstructions at Corners) General By-laws 1975,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,pending
807c29f5-7a81-5936-afef-c6f2c9f8cddc,Uniform General By-laws (Section 30 Subsection 1) New Subdivisions and Re-subdivisions,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
3e610b17-ed5a-5bca-831b-ea9aefa8692a,State Planning Policy 4.2 - Activity Centres for Perth and Peel,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-42-activity-centres-perth-and-peel,pending
c0afb614-6c41-5742-a87b-aa68dc0f2cae,Town Planning and Development By-laws (Excavations in Subdivided Areas),Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
8d23351a-8a7b-5074-adfa-dea656ee5390,By-law under the Second Schedule of the Town Planning and Development Act 1928,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
49b61183-b497-590d-9e10-b6a7d71502c7,Town Planning and Development By-laws By-law 3,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
4918af6a-31d7-5df5-a5b8-0fb04680f507,By-law providing for enforcement of any by-law made under section 30,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
51400ba6-76bd-5610-879e-7645216d4264,By-laws for the Control of Hoardings,Government of Western Australia,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a9408_subsidiary.html,out_of_scope
e7f7ef23-b4bd-5c02-a775-e0e4a46e75af,State Planning Policy 1 - State Planning Framework,Western Australian Planning Commission,https://www.wa.gov.au/system/files/2021-06/SPP_1_State_Planning_Framework.pdf,pending
da5b6938-f8be-5ed8-bdc8-e36c9459ac58,State Planning Policy 2.0 - Environment and Natural Resources,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-20-environment-and-natural-resources-policy,pending
ca27869f-a5ff-5e30-996f-ab993b4fe8b9,State Planning Policy 2.4 - Planning for Basic Raw Materials,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-24-basic-raw-materials,pending
41327c93-7b27-5aca-a12a-cc241d469eee,State Planning Policy 2.5 - Rural Planning,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-25-rural-planning,pending
75cef0e1-f58e-5576-92f0-d9f3b2c9759d,State Planning Policy 2.6 - State Coastal Planning Policy,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-26-coastal-planning,pending
6820a32d-1c69-5759-bccd-8a7f10d149e3,State Planning Policy 2.8 - Bushland Policy for the Perth Metropolitan Region,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-28-bushland-policy-the-perth-metropolitan-region,pending
4c391a01-4702-579f-b0b4-0e7262296d57,State Planning Policy 2.9 - Water,Western Australian Planning Commission,https://www.planning.wa.gov.au/state-planning-policy-2.9-water,pending
7b080bb7-1f7f-559f-9a2d-9547cc0e64cc,State Planning Policy 3.0 - Urban Growth and Settlement,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-30-urban-growth-and-settlement,pending
0a7be17c-90fc-5a7e-b662-f51b3f301d8c,State Planning Policy 3.2 - Aboriginal Settlements,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-32-aboriginal-settlements,pending
d8c5cb55-3034-5df5-b518-a704c404ceb0,State Planning Policy 3.4 - Natural Hazards and Disasters,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-34-natural-hazards-and-disasters,pending
d80d3c74-5cc7-5755-96a2-4d2c322f7b1e,State Planning Policy 3.5 - Historic Heritage Conservation,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-35-historic-heritage-conservation,pending
2b4f5ddc-8a4e-5ed0-95a3-9a222e724da6,State Planning Policy 3.6 - Infrastructure Contributions,Western Australian Planning Commission,https://www.wa.gov.au/government/publications/state-planning-policy-36-infrastructure-contributions,pending
551e7fb8-cad6-52b9-95c5-2bbc6543cde4,State Planning Policy 3.7 - Planning in Bushfire Prone Areas,Western Australian Planning Commission,https://www.planning.wa.gov.au/state-planning-policy-3.7-bushfire,pending
